StopID,PID,ObjectId,perceivedRace_Asian,perceivedRace_Black,perceivedRace_Hispanic,perceivedRace_Middle Eastern or South Asian,perceivedRace_Native American,perceivedRace_Pacific Islander,perceivedRace_White
5782,1,1,0,0,0,0,0,0,1
5785,1,2,0,0,0,0,0,0,1
5786,1,3,0,0,0,0,0,0,1
5787,1,49,1,1,1,1,1,1,1
5788,1,11,0,0,0,0,0,0,1
5789,1,12,0,0,1,0,0,0,0
5790,1,13,0,0,1,0,0,0,0
5791,1,14,0,0,1,0,0,0,0
5792,1,15,0,0,0,0,0,0,1
5793,1,16,0,1,0,0,0,0,0
5794,1,17,0,0,1,0,0,0,0
5795,1,18,0,0,0,1,0,0,0
5796,1,19,0,0,1,0,0,0,0
5797,1,20,0,0,1,0,0,0,0
5798,1,21,0,0,0,0,0,0,1
5799,1,22,0,0,0,0,0,0,1
5800,1,23,0,0,0,0,0,0,1
5801,1,24,1,0,0,0,0,0,0
5802,1,25,0,0,0,0,0,0,1
5804,1,26,0,0,1,0,0,0,0
5805,1,27,0,0,1,0,0,0,0
5806,1,28,0,0,1,0,0,0,0
5807,1,29,0,0,1,0,0,0,0
5808,1,30,0,0,1,0,0,0,0
5809,1,31,0,0,1,0,0,0,0
5810,1,32,0,1,0,0,0,0,0
5811,1,67,0,1,1,0,0,0,0
5812,1,35,0,0,1,0,0,0,0
5813,1,36,0,0,1,0,0,0,0
5814,1,37,0,0,1,0,0,0,0
5815,1,38,0,0,0,0,0,0,1
5816,1,39,0,0,0,0,0,0,1
5817,1,40,0,0,1,0,0,0,0
5818,1,41,0,1,0,0,0,0,0
5819,1,42,0,0,0,0,0,0,1
5820,1,43,0,0,1,0,0,0,0
5821,1,44,0,0,0,0,0,1,0
5822,1,45,0,0,1,0,0,0,0
5822,2,46,0,0,1,0,0,0,0
5823,1,47,0,0,0,0,0,0,1
5823,2,48,0,1,0,0,0,0,0
5823,3,49,0,1,0,0,0,0,0
5824,1,50,0,0,1,0,0,0,0
5826,1,939,1,1,1,1,1,1,0
5827,1,163,0,1,0,0,0,0,0
5828,1,165,0,1,0,0,0,0,0
5829,1,167,0,0,1,0,0,0,0
5830,1,169,0,1,0,0,0,0,0
5831,1,171,0,0,0,0,0,0,1
5832,1,173,0,0,0,0,0,0,1
5833,1,175,0,0,0,0,0,0,1
5834,1,177,0,1,0,0,0,0,0
5834,2,179,0,0,1,0,0,0,0
5834,3,181,0,0,0,0,0,0,1
5835,1,183,0,0,1,0,0,0,0
5836,1,185,0,0,0,0,0,0,1
5836,2,187,0,0,1,0,0,0,0
5836,3,189,0,0,0,0,0,0,1
5837,1,191,0,1,0,0,0,0,0
5838,1,193,0,1,0,0,0,0,0
5839,1,195,0,0,1,0,0,0,0
5840,1,197,0,0,0,0,0,0,1
5841,1,199,1,0,0,0,0,0,0
5841,2,201,1,0,0,0,0,0,0
5842,1,203,0,0,1,0,0,0,0
5843,1,205,0,0,1,0,0,0,0
5844,1,207,0,0,0,1,0,0,0
5845,1,209,0,1,0,0,0,0,0
5845,2,211,0,1,0,0,0,0,0
5846,1,213,0,0,0,0,0,0,1
5847,1,215,0,1,0,0,0,0,0
5848,1,217,0,0,1,0,0,0,0
5849,1,1569,1,1,1,1,1,1,1
5850,1,232,0,0,1,0,0,0,0
5851,1,234,0,0,0,0,0,0,1
5852,1,235,0,0,1,0,0,0,0
5853,1,237,0,1,0,0,0,0,0
5854,1,239,0,0,1,0,0,0,0
5855,1,241,0,0,0,0,0,0,1
5856,1,243,0,0,1,0,0,0,0
5857,1,245,0,1,0,0,0,0,0
5858,1,247,0,0,1,0,0,0,0
5859,1,251,0,0,1,0,0,0,0
5860,1,252,0,0,1,0,0,0,0
5861,1,253,0,0,0,0,0,0,1
5862,1,254,0,1,0,0,0,0,0
5863,1,255,0,1,0,0,0,0,0
5864,1,256,0,0,1,0,0,0,0
5865,1,257,0,1,0,0,0,0,0
5866,1,258,0,0,1,0,0,0,0
5867,1,259,0,1,0,0,0,0,0
5868,1,260,0,0,1,0,0,0,0
5869,1,261,0,0,0,0,0,0,1
5870,1,262,0,1,0,0,0,0,0
5871,1,263,0,0,0,0,0,0,1
