properties.ObjectId,properties.StopID,properties.PID,properties.perceivedRace
1,5782,1,White
2,5785,1,White
3,5786,1,White
4,5787,1,Asian
5,5787,1,Black
6,5787,1,Hispanic
7,5787,1,Middle Eastern or South Asian
8,5787,1,Native American
9,5787,1,Pacific Islander
10,5787,1,White
11,5788,1,White
12,5789,1,Hispanic
13,5790,1,Hispanic
14,5791,1,Hispanic
15,5792,1,White
16,5793,1,Black
17,5794,1,Hispanic
18,5795,1,Middle Eastern or South Asian
19,5796,1,Hispanic
20,5797,1,Hispanic
21,5798,1,White
22,5799,1,White
23,5800,1,White
24,5801,1,Asian
25,5802,1,White
26,5804,1,Hispanic
27,5805,1,Hispanic
28,5806,1,Hispanic
29,5807,1,Hispanic
30,5808,1,Hispanic
31,5809,1,Hispanic
32,5810,1,Black
33,5811,1,Black
34,5811,1,Hispanic
35,5812,1,Hispanic
36,5813,1,Hispanic
37,5814,1,Hispanic
38,5815,1,White
39,5816,1,White
40,5817,1,Hispanic
41,5818,1,Black
42,5819,1,White
43,5820,1,Hispanic
44,5821,1,Pacific Islander
45,5822,1,Hispanic
46,5822,2,Hispanic
47,5823,1,White
48,5823,2,Black
49,5823,3,Black
50,5824,1,Hispanic
51,5905,1,Hispanic
52,5906,1,White
53,5907,1,Black
54,5908,1,Black
55,5909,1,White
56,5910,1,Black
57,5911,1,Hispanic
58,5911,2,White
59,5912,1,White
60,5913,1,Black
61,5914,1,Black
62,5915,1,Black
63,5916,1,Black
64,5917,1,White
65,5918,1,Hispanic
66,5919,1,Hispanic
67,5919,1,White
68,5920,1,Hispanic
69,5921,1,White
70,5922,1,White
71,5923,1,White
72,5923,2,Hispanic
73,5924,1,White
74,5925,1,Hispanic
75,5926,1,Black
76,5927,1,White
77,5928,1,Black
78,5929,1,Black
79,5930,1,Hispanic
80,5930,1,Middle Eastern or South Asian
81,5930,1,Native American
82,5930,1,Pacific Islander
83,5931,1,Black
84,5932,1,Hispanic
85,5932,1,Middle Eastern or South Asian
86,5932,1,Native American
87,5932,1,Pacific Islander
88,5933,1,Asian
89,5934,1,Hispanic
90,5934,1,Middle Eastern or South Asian
91,5934,1,Native American
92,5935,1,Hispanic
93,5935,1,Middle Eastern or South Asian
94,5935,1,Native American
95,5936,1,Hispanic
96,5936,1,Middle Eastern or South Asian
97,5936,1,Native American
98,5937,1,Hispanic
99,5937,1,Middle Eastern or South Asian
100,5938,1,Black
101,5939,1,White
102,5940,1,Hispanic
103,5941,1,Black
104,5942,1,White
105,5943,1,Black
106,5944,1,Hispanic
107,5945,1,Asian
108,5946,1,Hispanic
109,5947,1,Asian
110,5948,1,Asian
111,5949,1,Hispanic
112,5950,1,Hispanic
113,5951,1,White
114,5952,1,White
115,5953,1,Hispanic
116,5954,1,White
117,5955,1,White
118,5956,1,Hispanic
119,5957,1,Black
120,5958,1,White
121,5959,1,White
122,5960,1,Hispanic
123,5961,1,Hispanic
124,5962,1,White
125,5963,1,Black
126,5964,1,White
127,5965,1,Hispanic
128,5966,1,White
129,5967,1,White
130,5968,1,Hispanic
131,5969,1,Black
132,5970,1,Black
133,5971,1,White
134,5972,1,Black
135,5973,1,Middle Eastern or South Asian
136,5974,1,Black
137,5975,1,Hispanic
138,5976,1,White
139,5977,1,Hispanic
140,5978,1,Hispanic
141,5979,1,Black
142,5980,1,Black
143,5981,1,Black
144,5982,1,Black
145,5983,1,Black
146,5984,1,Black
147,5985,1,White
148,5986,1,Black
149,5987,1,Hispanic
150,5988,1,Middle Eastern or South Asian
151,5989,1,Black
152,5826,1,Asian
153,5990,1,White
154,5826,1,Black
155,5991,1,Hispanic
156,5826,1,Hispanic
157,5826,1,Middle Eastern or South Asian
158,5992,1,White
159,5826,1,Native American
160,5993,1,Black
161,5826,1,Pacific Islander
162,5994,1,Hispanic
163,5827,1,Black
