properties.ObjectId,properties.StopID,properties.PID,properties.perceivedOrKnownDisability
1,5782,1,None
2,5785,1,None
3,5786,1,None
4,5787,1,None
5,5788,1,None
6,5789,1,None
7,5790,1,None
8,5791,1,None
9,5792,1,None
10,5793,1,None
11,5794,1,None
12,5795,1,None
13,5796,1,None
14,5797,1,None
15,5798,1,None
16,5799,1,None
17,5800,1,None
18,5801,1,None
19,5802,1,None
20,5804,1,None
21,5805,1,None
22,5806,1,None
23,5807,1,None
24,5808,1,None
25,5809,1,None
26,5810,1,None
27,5811,1,None
28,5812,1,None
29,5813,1,None
30,5814,1,None
31,5815,1,None
32,5816,1,None
33,5817,1,None
34,5818,1,None
35,5819,1,None
36,5820,1,None
37,5821,1,None
38,5822,1,None
39,5822,2,None
40,5823,1,None
41,5823,2,None
42,5823,3,None
43,5824,1,None
44,5826,1,None
45,5827,1,Mental health condition
46,5828,1,None
47,5829,1,None
48,5830,1,None
49,5831,1,None
50,5832,1,Mental health condition
51,5922,1,None
52,5923,1,None
53,5923,2,None
54,5924,1,None
55,5925,1,Mental health condition
56,5926,1,None
57,5927,1,None
58,5928,1,None
59,5929,1,None
60,5930,1,None
61,5931,1,None
62,5932,1,None
63,5933,1,None
64,5934,1,None
65,5935,1,None
66,5936,1,None
67,5937,1,None
68,5938,1,None
69,5939,1,None
70,5940,1,None
71,5941,1,None
72,5942,1,None
73,5943,1,None
74,5944,1,None
75,5945,1,None
76,5946,1,None
77,5947,1,None
78,5948,1,None
79,5949,1,Speech impairment or limited use of language
80,5950,1,Mental health condition
81,5951,1,Mental health condition
82,5952,1,None
83,5953,1,None
84,5954,1,None
85,5955,1,None
86,5956,1,None
87,5957,1,Mental health condition
88,5958,1,None
89,5959,1,None
90,5960,1,None
91,5961,1,None
92,5962,1,None
93,5963,1,Mental health condition
94,5964,1,None
95,5965,1,None
96,5966,1,None
97,5967,1,None
98,5968,1,None
99,5969,1,Mental health condition
100,5970,1,None
101,6063,2,None
102,6064,1,None
103,6065,1,None
104,6066,1,None
105,6067,1,None
106,6068,1,None
107,6069,1,None
108,6070,1,None
109,6071,1,None
110,6072,1,None
111,6073,1,None
112,6074,1,None
113,6075,1,None
114,6076,1,None
115,6077,1,None
116,6078,1,None
117,6079,1,None
118,6080,1,None
119,6081,1,None
120,6082,1,None
121,6083,1,None
122,6084,1,None
123,6085,1,None
124,6086,1,Mental health condition
125,6087,1,None
126,6088,1,None
127,6089,1,Mental health condition
128,6090,1,Mental health condition
129,6091,1,Mental health condition
130,6092,1,None
131,6093,1,None
132,6094,1,None
133,6095,1,None
134,6096,1,None
135,6097,1,None
136,6098,1,None
137,6099,1,None
138,6100,1,None
139,6101,1,Mental health condition
140,6102,1,Mental health condition
141,6103,1,None
142,6104,1,None
143,6105,1,None
144,6106,1,None
145,6107,1,None
146,6108,1,None
147,6109,1,None
148,6110,1,None
149,6111,1,None
150,6112,1,None
151,6113,1,None
152,6114,1,None
153,6115,1,None
154,6116,1,None
155,6117,1,None
156,6118,1,None
157,6119,1,Mental health condition
158,6121,1,None
159,6123,1,None
160,6124,1,None
161,6125,1,None
162,6125,2,None
163,6126,1,None
164,6127,1,None
165,6129,1,None
166,6130,1,None
167,6131,1,None
168,6132,1,Mental health condition
169,6133,1,None
170,6133,2,None
171,6133,3,None
172,6133,4,None
173,6134,1,None
174,6135,1,None
175,6136,1,None
176,6137,1,None
177,6138,1,None
178,6139,1,None
179,6140,1,None
180,6141,1,None
181,6142,1,Mental health condition
182,6143,1,None
183,6144,1,None
184,6145,1,None
185,6146,1,None
186,6147,1,None
187,6148,1,None
188,6149,1,Mental health condition
189,6150,1,None
190,6151,1,None
191,6152,1,None
192,6153,1,None
193,6154,1,None
194,6155,1,None
195,6156,1,None
196,6157,1,None
197,6158,1,None
198,6159,1,None
199,6160,1,None
200,6161,1,None
201,5875,1,None
202,5876,1,None
203,5877,1,None
204,5878,1,None
205,5879,1,None
206,5880,1,None
207,5881,1,None
208,5882,1,None
209,5883,1,None
210,5884,1,None
211,5885,1,None
212,5886,1,None
213,5887,1,None
214,5888,1,None
215,5889,1,None
216,5890,1,None
217,5891,1,None
218,5891,2,None
219,5891,3,None
220,5892,1,None
221,5893,1,None
222,5894,1,None
223,5895,1,None
224,5896,1,None
225,5897,1,None
226,5898,1,None
227,5899,1,Mental health condition
228,5899,2,None
229,5901,1,None
230,5902,1,None
231,5903,1,None
232,5904,1,None
233,5905,1,None
234,5906,1,None
235,5907,1,None
236,5908,1,None
237,5909,1,None
238,5910,1,None
239,5911,1,None
240,5911,2,None
241,5912,1,None
242,5913,1,None
243,5914,1,None
244,5915,1,None
245,5916,1,None
246,5917,1,None
247,5918,1,None
248,5919,1,None
249,5920,1,None
250,5921,1,None
251,5833,1,None
252,5834,1,None
253,5834,2,None
254,5834,3,None
255,5835,1,None
256,5836,1,None
257,5836,2,None
258,5836,3,Other disability
259,5837,1,None
260,5838,1,None
261,5839,1,None
262,5840,1,None
263,5841,1,None
264,5841,2,None
265,5842,1,None
266,5843,1,None
267,5844,1,None
268,5845,1,None
269,5845,2,None
270,5846,1,None
271,5847,1,None
272,5848,1,None
273,5849,1,Mental health condition
274,5850,1,None
275,5851,1,Mental health condition
276,5852,1,None
277,5853,1,None
278,5854,1,None
279,5855,1,None
280,5856,1,None
281,5857,1,None
282,5858,1,None
283,5859,1,None
284,5860,1,None
285,5861,1,None
286,5862,1,None
287,5863,1,None
288,5864,1,None
289,5865,1,None
290,5866,1,None
291,5867,1,None
292,5868,1,None
293,5869,1,None
294,5870,1,Other disability
295,5871,1,None
296,5871,2,None
297,5871,3,None
298,5872,1,Mental health condition
299,5873,1,None
300,5874,1,None
301,6020,1,None
302,6021,1,None
303,6022,1,Mental health condition
304,6023,1,None
305,6024,1,None
306,6025,1,None
307,6026,1,None
308,6027,1,None
309,6028,1,None
310,6029,1,None
311,6030,1,None
312,6031,1,None
313,6031,2,None
314,6033,1,None
315,6034,1,None
316,6035,1,None
317,6036,1,None
318,6037,1,None
319,6038,1,None
320,6039,1,None
321,6040,1,None
322,6041,1,None
323,6042,1,None
324,6043,1,None
325,6044,1,None
326,6045,1,None
327,6046,1,None
328,6046,2,None
329,6047,1,None
330,6048,1,None
331,6049,1,None
332,6050,1,None
333,6050,2,None
334,6051,1,None
335,6052,1,None
336,6053,1,None
337,6054,1,None
338,6055,1,None
339,6055,2,None
340,6056,1,None
341,6056,2,None
342,6057,1,None
343,6058,1,None
344,6059,1,None
345,6060,1,None
346,6061,1,None
347,6061,2,None
348,6061,3,None
349,6062,1,None
350,6063,1,None
351,5971,1,None
352,5972,1,None
353,5973,1,None
354,5974,1,None
355,5975,1,None
356,5976,1,None
357,5977,1,None
358,5978,1,None
359,5979,1,None
360,5980,1,None
361,5981,1,None
362,5982,1,None
363,5983,1,Other disability
364,5984,1,None
365,5985,1,None
366,5986,1,None
367,5987,1,None
368,5988,1,None
369,5989,1,None
370,5990,1,None
371,5991,1,Mental health condition
372,5992,1,None
373,5993,1,Other disability
374,5994,1,None
375,5994,2,None
376,5995,1,None
377,5996,1,None
378,5997,1,None
379,5998,1,None
380,5999,1,None
381,6000,1,None
382,6001,1,None
383,6002,1,None
384,6003,1,None
385,6004,1,None
386,6005,1,None
387,6006,1,None
388,6007,1,None
389,6008,1,None
390,6009,1,None
391,6010,1,None
392,6011,1,None
393,6012,1,None
394,6013,1,None
395,6014,1,None
396,6015,1,None
397,6016,1,None
398,6017,1,None
399,6018,1,None
400,6019,1,None
401,6250,1,None
402,6251,1,None
403,6251,2,None
404,6252,1,None
405,6253,1,None
406,6254,1,None
407,6255,1,None
408,6256,1,None
409,6257,1,None
410,6258,1,None
411,6259,1,None
412,6260,1,None
413,6261,1,None
414,6262,1,None
415,6263,1,None
416,6264,1,None
417,6265,1,None
418,6267,1,None
419,6269,1,None
420,6270,1,None
421,6271,1,None
422,6272,1,None
423,6273,1,None
424,6274,1,None
425,6275,1,None
426,6276,1,None
427,6277,1,None
428,6278,1,None
429,6279,1,None
430,6279,2,None
431,6280,1,None
432,6281,1,None
433,6282,1,None
434,6283,1,None
435,6284,1,None
436,6285,1,None
437,6286,1,None
438,6287,1,None
439,6288,1,None
440,6289,1,None
441,6290,1,None
442,6291,1,None
