properties.ObjectId,properties.StopID,properties.PID,properties.actionTakenDuringStop,properties.personSearchConsentGiven,properties.propertySearchConsentGiven
1,5873,1,None,NULL,NULL
2,5839,1,None,NULL,NULL
3,5782,1,Curbside detention,NULL,NULL
4,6014,1,Handcuffed or flex cuffed,NULL,NULL
5,5874,1,Handcuffed or flex cuffed,NULL,NULL
6,6014,1,Search of person was conducted,NULL,NULL
7,5840,1,None,NULL,NULL
8,5785,1,None,NULL,NULL
9,5874,1,Patrol car detention,NULL,NULL
10,6015,1,None,NULL,NULL
11,5841,1,None,NULL,NULL
12,5874,1,Search of property was conducted,NULL,NULL
13,5786,1,Curbside detention,NULL,NULL
14,6016,1,Handcuffed or flex cuffed,NULL,NULL
15,5787,1,Handcuffed or flex cuffed,NULL,NULL
16,5841,2,None,NULL,NULL
17,5875,1,Curbside detention,NULL,NULL
18,5842,1,Person removed from vehicle by order,NULL,NULL
19,6016,1,Search of person was conducted,NULL,NULL
20,5787,1,Property was seized,NULL,NULL
21,5843,1,Curbside detention,NULL,NULL
22,5876,1,None,NULL,NULL
23,6017,1,None,NULL,NULL
24,5877,1,None,NULL,NULL
25,5787,1,Search of person was conducted,NULL,NULL
26,5843,1,Search of person was conducted,NULL,NULL
27,6018,1,None,NULL,NULL
28,5878,1,None,NULL,NULL
29,5788,1,None,NULL,NULL
30,5844,1,None,NULL,NULL
31,6019,1,None,NULL,NULL
32,5879,1,Patrol car detention,NULL,NULL
33,5789,1,None,NULL,NULL
34,6020,1,None,NULL,NULL
35,5845,1,Person removed from vehicle by order,NULL,NULL
36,6021,1,None,NULL,NULL
37,5880,1,Curbside detention,NULL,NULL
38,5790,1,None,NULL,NULL
39,6022,1,Curbside detention,NULL,NULL
40,5845,1,Search of person was conducted,NULL,NULL
41,5881,1,None,NULL,NULL
42,6023,1,Handcuffed or flex cuffed,NULL,NULL
43,5791,1,Curbside detention,NULL,NULL
44,5845,1,Search of property was conducted,NULL,NULL
45,6023,1,Search of person was conducted,NULL,NULL
46,5882,1,Curbside detention,NULL,NULL
47,5845,2,None,NULL,NULL
48,5792,1,None,NULL,NULL
49,6024,1,None,NULL,NULL
50,5883,1,Curbside detention,NULL,NULL
51,5846,1,Curbside detention,NULL,NULL
52,5793,1,Asked for consent to search person,NULL,NULL
53,5883,1,Search of person was conducted,NULL,NULL
54,6025,1,None,NULL,NULL
55,5846,1,Search of person was conducted,NULL,NULL
56,5793,1,Curbside detention,NULL,NULL
57,5883,1,Search of property was conducted,NULL,NULL
58,6026,1,None,NULL,NULL
59,5847,1,Handcuffed or flex cuffed,NULL,NULL
60,5884,1,None,NULL,NULL
61,5794,1,Curbside detention,NULL,NULL
62,5885,1,Curbside detention,NULL,NULL
63,6027,1,None,NULL,NULL
64,5847,1,Patrol car detention,NULL,NULL
65,5794,1,Handcuffed or flex cuffed,NULL,NULL
66,5885,1,Person removed from vehicle by order,NULL,NULL
67,6028,1,Curbside detention,NULL,NULL
68,5885,1,Search of person was conducted,NULL,NULL
69,5794,1,Patrol car detention,NULL,NULL
70,5847,1,Search of person was conducted,NULL,NULL
71,5885,1,Search of property was conducted,NULL,NULL
72,6028,1,Search of person was conducted,NULL,NULL
73,5794,1,Search of person was conducted,NULL,NULL
74,5848,1,None,NULL,NULL
75,5886,1,Curbside detention,NULL,NULL
76,6029,1,Handcuffed or flex cuffed,NULL,NULL
77,5795,1,None,NULL,NULL
78,5849,1,Curbside detention,NULL,NULL
79,5887,1,None,NULL,NULL
80,6029,1,Search of person was conducted,NULL,NULL
81,5849,1,Search of person was conducted,NULL,NULL
82,5796,1,Asked for consent to search person,TRUE,NULL
83,5850,1,None,NULL,NULL
84,5888,1,None,NULL,NULL
85,6030,1,None,NULL,NULL
86,5889,1,None,NULL,NULL
87,5796,1,Curbside detention,NULL,NULL
88,5851,1,None,NULL,NULL
89,5797,1,None,NULL,NULL
90,6031,1,Handcuffed or flex cuffed,NULL,NULL
91,5890,1,None,NULL,NULL
92,5976,1,Curbside detention,NULL,NULL
93,5940,1,Curbside detention,NULL,NULL
94,5798,1,Curbside detention,NULL,NULL
95,5852,1,None,NULL,NULL
96,6031,1,Property was seized,NULL,NULL
97,5798,1,Search of property was conducted,NULL,NULL
98,5941,1,Curbside detention,NULL,NULL
99,5977,1,Curbside detention,NULL,NULL
100,5891,1,None,NULL,NULL
101,6031,1,Search of person was conducted,NULL,NULL
102,5853,1,None,NULL,NULL
103,5799,1,Curbside detention,NULL,NULL
104,5891,2,None,NULL,NULL
105,6031,2,None,NULL,NULL
106,5854,1,Patrol car detention,NULL,NULL
107,5800,1,Search of person was conducted,NULL,NULL
108,5891,3,None,NULL,NULL
109,6033,1,Patrol car detention,NULL,NULL
110,5855,1,Curbside detention,NULL,NULL
111,5801,1,Curbside detention,NULL,NULL
112,5892,1,None,NULL,NULL
113,6034,1,None,NULL,NULL
114,5856,1,Curbside detention,NULL,NULL
115,5801,1,Handcuffed or flex cuffed,NULL,NULL
116,5893,1,Curbside detention,NULL,NULL
117,6035,1,Handcuffed or flex cuffed,NULL,NULL
118,5857,1,Curbside detention,NULL,NULL
