properties.ObjectId,properties.StopID,properties.PID,properties.resultOfStop,properties.resultOfStopcode,properties.resultOfStopcodeText
1,5782,1,Field interview card completed,NULL,NULL
2,5867,1,Citation for infraction,55103,374.4 PC - LITTER PUB/PRIVATE PROP (I) 55103
3,5908,1,Citation for infraction,54109,24252(A) VC - FAIL MAINT VEH LITE EQUIP (I) 54109
4,6033,1,Citation for infraction,54372,21453(B) VC - TURN ONTO ONEWAY AT RED (I) 54372
5,5785,1,Citation for infraction,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
6,5868,1,Warning (verbal or written),52644,25200(B) PC - F/A ACCES CHLD:BRNG SCHOL (M) 52644
7,5908,1,Citation for infraction,54083,14601.1(A) VC - DRIVE:LIC SUSPENDED/ETC (M) 54083
8,6034,1,Warning (verbal or written),32100,602(M) PC - TRESPASS:OCC PROP W/O CON (M) 32100
9,5909,1,Field interview card completed,NULL,NULL
10,5786,1,No Action,NULL,NULL
11,5869,1,Citation for infraction,66205,640(B)(3) PC - SMOKING PROHIBITED AREA (I) 66205
12,5787,1,Custodial Arrest without warrant,38080,273.5(A) PC - CRPL INJ:SPOUS/COHAB/DATE (F) 38080
13,6035,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
14,5910,1,Field interview card completed,NULL,NULL
15,6036,1,No Action,NULL,NULL
16,5788,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
17,5870,1,Citation for infraction,66207,640(B)(5) PC - SKATEBOARD:PRKG STRUCTURE (I) 66207
18,6037,1,Custodial Arrest without warrant,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005
19,5910,1,Custodial Arrest without warrant,53142,640(D)(1) PC - DISTURB/BEHAVIOR:PUB TRAN (M) 53142
20,5789,1,Warning (verbal or written),53130,415(2) PC - LOUD/UNREASONABLE NOISE (I) 53130
21,6038,1,Citation for infraction,54099,4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099
22,5871,1,No Action,NULL,NULL
