properties.ObjectId,properties.StopID,properties.PID,properties.basisForSearch
1,5782,1,NULL
2,5785,1,NULL
3,5786,1,NULL
4,5787,1,Incident to arrest
5,5788,1,NULL
6,5789,1,NULL
7,5790,1,NULL
8,5791,1,NULL
9,5792,1,NULL
10,5793,1,NULL
11,5794,1,Incident to arrest
12,5795,1,NULL
13,5796,1,NULL
14,5797,1,NULL
15,5798,1,Evidence of crime
16,5799,1,NULL
17,5800,1,Officer Safety/safety of others
18,5801,1,Incident to arrest
19,5801,1,Officer Safety/safety of others
20,5802,1,NULL
21,5804,1,NULL
22,5805,1,NULL
23,5806,1,NULL
24,5807,1,Incident to arrest
25,5808,1,Incident to arrest
26,5809,1,NULL
27,5810,1,NULL
28,5811,1,Officer Safety/safety of others
29,5812,1,Officer Safety/safety of others
30,5813,1,Incident to arrest
31,5814,1,NULL
32,5815,1,NULL
33,5816,1,NULL
34,5817,1,Incident to arrest
35,5818,1,NULL
36,5819,1,NULL
37,5820,1,NULL
38,5821,1,NULL
39,5822,1,NULL
40,5822,2,NULL
41,5823,1,Officer Safety/safety of others
42,5823,2,Officer Safety/safety of others
43,5823,3,Officer Safety/safety of others
44,5824,1,NULL
45,5826,1,NULL
46,5827,1,Officer Safety/safety of others
47,5828,1,Officer Safety/safety of others
48,5829,1,NULL
49,5830,1,NULL
50,5831,1,NULL
51,5915,1,Officer Safety/safety of others
52,5916,1,NULL
53,5917,1,NULL
54,5918,1,NULL
55,5919,1,NULL
56,5920,1,NULL
57,5921,1,NULL
58,5922,1,NULL
59,5923,1,NULL
60,5923,2,NULL
61,5924,1,NULL
62,5925,1,Officer Safety/safety of others
63,5926,1,NULL
64,5927,1,NULL
65,5928,1,NULL
66,5929,1,Officer Safety/safety of others
67,5930,1,NULL
68,5931,1,Officer Safety/safety of others
69,5932,1,NULL
70,5933,1,Consent given
71,5934,1,NULL
72,5935,1,NULL
73,5936,1,NULL
74,5937,1,NULL
75,5938,1,NULL
76,5939,1,NULL
77,5940,1,NULL
78,5941,1,NULL
79,5942,1,NULL
80,5943,1,Consent given
81,5944,1,NULL
82,5945,1,NULL
83,5946,1,NULL
84,5947,1,NULL
85,5948,1,NULL
86,5949,1,NULL
87,5950,1,NULL
88,5951,1,NULL
89,5952,1,NULL
90,5953,1,NULL
91,5954,1,NULL
92,5955,1,Odor of contraband
93,5956,1,NULL
94,5957,1,NULL
95,5958,1,NULL
96,5959,1,NULL
97,5960,1,Officer Safety/safety of others
98,5961,1,NULL
99,5962,1,NULL
100,5963,1,NULL
101,5964,1,Officer Safety/safety of others
102,5965,1,NULL
103,5966,1,NULL
104,5967,1,NULL
105,5968,1,NULL
106,5969,1,Officer Safety/safety of others
107,5969,1,Suspected weapons
108,5970,1,NULL
109,5971,1,NULL
110,5972,1,NULL
111,5973,1,NULL
112,5974,1,NULL
113,5975,1,Officer Safety/safety of others
114,5976,1,NULL
115,5977,1,NULL
116,5978,1,NULL
117,5979,1,NULL
118,5980,1,NULL
119,5981,1,NULL
120,5982,1,NULL
121,5983,1,NULL
122,5984,1,NULL
123,5985,1,NULL
124,5986,1,NULL
125,5987,1,NULL
126,5988,1,NULL
127,5989,1,NULL
128,5990,1,NULL
129,5991,1,NULL
130,5992,1,NULL
131,5993,1,NULL
132,5994,1,NULL
133,5994,2,NULL
134,5995,1,NULL
135,5996,1,NULL
136,5997,1,NULL
137,5998,1,NULL
138,5999,1,NULL
139,6000,1,NULL
140,6001,1,Consent given
141,6001,1,Evidence of crime
142,6002,1,NULL
143,6003,1,Incident to arrest
144,6004,1,NULL
145,6005,1,NULL
146,5871,1,Condition of parole / probation/ PRCS / mandatory supervision
147,6006,1,NULL
148,6007,1,NULL
149,6008,1,Officer Safety/safety of others
150,6009,1,NULL
151,6010,1,NULL
152,5871,2,Condition of parole / probation/ PRCS / mandatory supervision
153,5871,3,Condition of parole / probation/ PRCS / mandatory supervision
154,5872,1,NULL
155,5873,1,NULL
156,5874,1,Incident to arrest
157,5874,1,Officer Safety/safety of others
158,5875,1,NULL
159,5876,1,NULL
160,5877,1,NULL
161,5878,1,NULL
162,5879,1,NULL
163,5880,1,NULL
164,5881,1,NULL
165,5882,1,NULL
166,5883,1,Condition of parole / probation/ PRCS / mandatory supervision
167,5884,1,NULL
168,5885,1,Condition of parole / probation/ PRCS / mandatory supervision
169,5886,1,NULL
170,5887,1,NULL
171,5888,1,NULL
172,5889,1,NULL
173,5890,1,NULL
174,5891,1,NULL
175,5891,2,NULL
176,5891,3,NULL
177,5892,1,NULL
178,5893,1,NULL
179,5894,1,Officer Safety/safety of others
180,5895,1,Officer Safety/safety of others
181,5896,1,NULL
182,5897,1,NULL
183,5898,1,Officer Safety/safety of others
184,5899,1,NULL
185,5899,2,NULL
186,5901,1,Incident to arrest
187,5902,1,Incident to arrest
188,5903,1,NULL
189,5904,1,NULL
190,5905,1,NULL
191,5906,1,NULL
192,5907,1,NULL
193,5908,1,NULL
194,5909,1,NULL
195,5910,1,NULL
196,5911,1,NULL
197,5911,2,NULL
198,5912,1,Officer Safety/safety of others
199,5913,1,NULL
200,5914,1,NULL
201,5832,1,Consent given
202,5833,1,NULL
203,5834,1,Officer Safety/safety of others
204,5834,2,Officer Safety/safety of others
205,5834,3,Officer Safety/safety of others
206,5835,1,NULL
207,5836,1,Consent given
208,5836,1,Officer Safety/safety of others
209,5836,2,Consent given
210,5836,2,Officer Safety/safety of others
211,5836,3,Consent given
