properties.ObjectId,properties.StopID,properties.PID,properties.basisForPropertySeizure
1,5833,1,NULL
2,5834,1,NULL
3,5782,1,NULL
4,5834,2,NULL
5,5785,1,NULL
6,5786,1,NULL
7,5787,1,Safekeeping as allowed by law/statute
8,5834,3,NULL
9,5788,1,NULL
10,5789,1,NULL
11,5835,1,NULL
12,5790,1,NULL
13,5836,1,Contraband
14,5791,1,NULL
15,5836,2,Contraband
16,5792,1,NULL
17,5793,1,NULL
18,5836,2,Evidence
19,5794,1,NULL
20,5795,1,NULL
21,5836,3,Contraband
22,5796,1,NULL
23,5837,1,NULL
24,5838,1,NULL
25,5797,1,NULL
26,5839,1,NULL
27,5840,1,NULL
28,5798,1,NULL
29,5841,1,NULL
30,5799,1,NULL
31,5841,2,NULL
32,5800,1,NULL
33,5842,1,NULL
34,5801,1,NULL
35,5843,1,NULL
36,5802,1,NULL
37,5844,1,NULL
38,5804,1,NULL
39,5845,1,NULL
40,5805,1,NULL
41,5845,2,NULL
42,5806,1,NULL
43,5846,1,NULL
44,5847,1,NULL
45,5807,1,NULL
46,5848,1,NULL
47,5808,1,NULL
48,5849,1,NULL
49,5809,1,NULL
50,5850,1,NULL
51,5810,1,NULL
52,5811,1,NULL
53,5851,1,NULL
54,5812,1,Impound of vehicle
55,5852,1,NULL
56,5813,1,NULL
57,5814,1,NULL
58,5853,1,NULL
59,5815,1,NULL
60,5854,1,NULL
61,5855,1,NULL
62,5816,1,NULL
63,5856,1,NULL
64,5857,1,NULL
65,5817,1,NULL
66,5858,1,NULL
67,5818,1,NULL
68,5819,1,NULL
69,5859,1,NULL
70,5820,1,NULL
71,5860,1,NULL
72,5821,1,NULL
73,5861,1,NULL
74,5822,1,NULL
75,5822,2,NULL
76,5862,1,NULL
77,5823,1,NULL
78,5863,1,NULL
79,5823,2,NULL
80,5864,1,NULL
81,5823,3,NULL
82,5865,1,NULL
83,5824,1,NULL
84,5826,1,NULL
85,5866,1,NULL
86,5827,1,NULL
87,5828,1,NULL
88,5867,1,NULL
89,5829,1,NULL
90,5868,1,NULL
91,5830,1,NULL
92,5869,1,NULL
93,5831,1,NULL
94,5870,1,NULL
95,5832,1,NULL
96,5871,1,NULL
97,5871,2,NULL
98,5871,3,NULL
99,5872,1,NULL
100,5873,1,NULL
101,6019,1,NULL
102,6020,1,NULL
103,6021,1,NULL
104,6022,1,NULL
105,6023,1,NULL
106,6024,1,NULL
107,6025,1,NULL
108,6026,1,NULL
109,6027,1,NULL
110,6028,1,NULL
111,6029,1,NULL
112,6030,1,NULL
113,6031,1,Contraband
114,6031,2,NULL
115,6033,1,NULL
116,6034,1,NULL
117,6035,1,NULL
118,6036,1,NULL
119,6037,1,NULL
120,6038,1,NULL
121,6039,1,NULL
122,6040,1,NULL
123,6041,1,NULL
124,6042,1,NULL
125,6043,1,NULL
126,6044,1,NULL
127,6045,1,Evidence
128,6046,1,NULL
129,6046,2,NULL
130,6047,1,NULL
131,6048,1,NULL
132,6049,1,NULL
133,6050,1,NULL
134,6050,2,NULL
135,6051,1,NULL
136,6052,1,NULL
137,6053,1,NULL
138,6054,1,NULL
139,6055,1,NULL
140,6055,2,NULL
141,6056,1,NULL
142,6056,2,NULL
143,6057,1,NULL
144,6058,1,NULL
145,6059,1,NULL
146,6060,1,NULL
147,6061,1,NULL
148,6061,2,NULL
149,6061,3,NULL
150,6062,1,NULL
151,5970,1,NULL
152,5971,1,NULL
153,5972,1,NULL
154,5973,1,NULL
155,5974,1,NULL
156,5975,1,NULL
157,5976,1,NULL
158,5977,1,NULL
159,5978,1,NULL
160,5979,1,NULL
161,5980,1,NULL
162,5981,1,NULL
163,5982,1,NULL
164,5983,1,NULL
165,5984,1,NULL
166,5985,1,NULL
167,5986,1,NULL
168,5987,1,NULL
169,5988,1,NULL
170,5921,1,NULL
171,5989,1,NULL
172,5990,1,NULL
173,5991,1,NULL
174,5992,1,NULL
175,5993,1,NULL
176,5994,1,NULL
177,5994,2,NULL
178,5995,1,NULL
179,5996,1,NULL
180,5997,1,NULL
181,5998,1,NULL
182,5999,1,NULL
183,6000,1,NULL
184,6001,1,Evidence
185,6002,1,NULL
186,6003,1,NULL
187,6004,1,NULL
188,6005,1,NULL
189,6006,1,NULL
190,6007,1,NULL
191,6008,1,NULL
192,6009,1,NULL
193,6010,1,NULL
194,6011,1,NULL
195,6012,1,NULL
196,6013,1,NULL
197,6014,1,NULL
198,6015,1,NULL
199,6016,1,NULL
200,6017,1,NULL
201,6018,1,NULL
202,6111,1,NULL
203,5874,1,NULL
204,5922,1,NULL
205,5923,1,NULL
206,5923,2,NULL
207,5924,1,NULL
208,5925,1,NULL
209,5926,1,NULL
210,5927,1,NULL
211,5928,1,NULL
212,5929,1,NULL
213,5930,1,NULL
214,5931,1,NULL
215,5932,1,NULL
216,5933,1,NULL
217,5934,1,NULL
218,5935,1,NULL
219,5936,1,NULL
220,5937,1,NULL
221,5938,1,NULL
222,5939,1,NULL
223,5940,1,NULL
224,5941,1,NULL
225,5942,1,NULL
226,5943,1,NULL
227,5944,1,NULL
228,5945,1,NULL
229,5946,1,NULL
230,5947,1,NULL
231,5948,1,NULL
232,5949,1,NULL
233,5950,1,NULL
234,5951,1,NULL
235,5952,1,NULL
236,5953,1,NULL
237,5954,1,NULL
238,5955,1,NULL
239,5956,1,NULL
240,5957,1,NULL
241,5958,1,NULL
242,5959,1,NULL
243,5960,1,NULL
244,5961,1,NULL
245,5962,1,NULL
246,5963,1,NULL
247,5964,1,NULL
248,5965,1,NULL
249,5966,1,NULL
250,5967,1,NULL
251,5968,1,NULL
252,5969,1,NULL
253,5875,1,NULL
254,5876,1,NULL
255,5877,1,NULL
256,5878,1,NULL
257,5879,1,NULL
258,5880,1,NULL
259,5881,1,NULL
260,5882,1,NULL
261,5883,1,NULL
262,5884,1,NULL
263,5885,1,NULL
264,5886,1,NULL
265,5887,1,NULL
266,5888,1,NULL
267,5889,1,NULL
268,5890,1,NULL
269,5891,1,NULL
270,5891,2,NULL
271,5891,3,NULL
272,5892,1,NULL
273,5893,1,NULL
274,5894,1,NULL
275,5895,1,NULL
276,5896,1,NULL
277,5897,1,NULL
278,5898,1,NULL
279,5899,1,NULL
280,5899,2,NULL
281,5901,1,NULL
282,5902,1,Safekeeping as allowed by law/statute
283,5903,1,Evidence
284,5904,1,NULL
285,5905,1,NULL
286,5906,1,NULL
287,5907,1,NULL
288,5908,1,NULL
289,5909,1,NULL
290,5910,1,NULL
291,5911,1,NULL
292,5911,2,Evidence
293,5912,1,NULL
294,5913,1,NULL
295,5914,1,NULL
296,5915,1,Safekeeping as allowed by law/statute
297,5916,1,NULL
298,5917,1,NULL
299,5918,1,NULL
300,5919,1,NULL
301,5920,1,NULL
302,6112,1,NULL
303,6113,1,NULL
304,6114,1,NULL
305,6115,1,NULL
306,6116,1,NULL
307,6117,1,NULL
308,6118,1,NULL
309,6119,1,NULL
310,6121,1,NULL
311,6123,1,NULL
312,6124,1,NULL
313,6125,1,NULL
314,6125,2,NULL
315,6126,1,NULL
316,6127,1,NULL
317,6129,1,NULL
318,6130,1,NULL
319,6131,1,NULL
320,6132,1,NULL
321,6133,1,Abandoned property
322,6133,2,NULL
323,6133,3,NULL
324,6133,4,NULL
325,6134,1,NULL
326,6135,1,NULL
327,6136,1,NULL
328,6137,1,NULL
329,6138,1,NULL
330,6139,1,NULL
331,6140,1,NULL
332,6141,1,NULL
333,6142,1,NULL
334,6143,1,NULL
335,6144,1,NULL
336,6145,1,Safekeeping as allowed by law/statute
337,6146,1,NULL
338,6147,1,NULL
339,6148,1,NULL
340,6149,1,NULL
341,6150,1,NULL
342,6151,1,NULL
343,6152,1,NULL
344,6153,1,NULL
345,6154,1,Contraband
346,6154,1,Evidence
347,6154,1,Impound of vehicle
348,6155,1,NULL
349,6156,1,NULL
350,6157,1,NULL
351,6063,1,NULL
352,6063,2,NULL
353,6064,1,NULL
354,6065,1,NULL
355,6066,1,NULL
356,6067,1,NULL
357,6068,1,NULL
358,6069,1,NULL
359,6070,1,NULL
360,6071,1,NULL
361,6072,1,NULL
362,6073,1,NULL
363,6074,1,NULL
364,6075,1,NULL
365,6076,1,NULL
366,6077,1,NULL
367,6078,1,NULL
368,6079,1,NULL
369,6080,1,NULL
370,6081,1,NULL
371,6082,1,NULL
372,6083,1,NULL
373,6084,1,NULL
374,6085,1,NULL
375,6086,1,Safekeeping as allowed by law/statute
376,6087,1,NULL
377,6088,1,NULL
378,6089,1,NULL
379,6090,1,NULL
380,6091,1,NULL
381,6092,1,NULL
382,6093,1,NULL
383,6094,1,NULL
384,6095,1,NULL
385,6096,1,NULL
386,6097,1,NULL
387,6098,1,NULL
388,6099,1,NULL
389,6100,1,NULL
390,6101,1,NULL
391,6102,1,NULL
392,6103,1,NULL
393,6104,1,NULL
394,6105,1,Contraband
395,6105,1,Evidence
396,6106,1,NULL
397,6107,1,NULL
398,6108,1,NULL
399,6109,1,NULL
400,6110,1,NULL
401,6442,1,NULL
402,6443,1,NULL
403,6444,1,NULL
404,6445,1,NULL
405,6445,2,NULL
406,6446,1,NULL
407,6447,1,NULL
408,6448,1,NULL
409,6449,1,NULL
410,6450,1,NULL
411,6451,1,NULL
412,6451,2,NULL
413,6452,1,NULL
414,6453,1,NULL
415,6454,1,NULL
416,6455,1,Contraband
417,6455,1,Evidence
418,6246,1,NULL
419,6456,1,NULL
420,6456,2,NULL
421,6392,1,NULL
422,6247,1,NULL
423,6457,1,NULL
424,6392,2,NULL
425,6248,1,NULL
426,6457,2,NULL
427,6199,1,NULL
428,6393,1,NULL
429,6249,1,NULL
430,6458,1,Impound of vehicle
431,6483,1,NULL
432,6200,1,NULL
433,6394,1,NULL
434,6250,1,NULL
435,6458,2,NULL
436,6484,1,NULL
437,6201,1,NULL
438,6295,1,NULL
439,6395,1,NULL
440,6251,1,NULL
441,6459,1,NULL
442,6484,2,NULL
443,6202,1,NULL
444,6295,2,NULL
445,6397,1,NULL
446,6251,2,NULL
447,6460,1,NULL
448,6485,1,NULL
449,6203,1,NULL
450,6296,1,NULL
451,6398,1,NULL
452,6252,1,NULL
453,6461,1,NULL
454,6486,1,NULL
455,6203,2,NULL
456,6297,1,NULL
457,6399,1,NULL
458,6253,1,NULL
459,6462,1,NULL
460,6486,2,NULL
461,6204,1,NULL
462,6300,1,NULL
463,6400,1,NULL
464,6254,1,NULL
465,6463,1,NULL
466,6487,1,NULL
467,6205,1,NULL
468,6302,1,NULL
469,6401,1,NULL
470,6255,1,NULL
471,6464,1,NULL
472,6488,1,NULL
473,6206,1,NULL
474,6303,1,Contraband
475,6402,1,NULL
476,6256,1,NULL
477,6465,1,NULL
478,6489,1,NULL
479,6207,1,NULL
480,6304,1,NULL
481,6403,1,NULL
482,6257,1,NULL
483,6466,1,NULL
484,6490,1,NULL
485,6208,1,NULL
486,6305,1,NULL
487,6404,1,NULL
488,6258,1,NULL
489,6467,1,NULL
490,6491,1,NULL
491,6209,1,NULL
