properties.ObjectId,properties.StopID,properties.PID,properties.contrabandOrEvidenceDiscovered
1,5782,1,None
2,5785,1,None
3,5786,1,None
4,5787,1,None
5,5788,1,None
6,5789,1,None
7,5790,1,None
8,5791,1,None
9,5792,1,None
10,5793,1,None
11,5794,1,None
12,5795,1,None
13,5796,1,None
14,5797,1,None
15,5798,1,Other Contraband or evidence
16,5799,1,None
17,5800,1,None
18,5801,1,None
19,5802,1,None
20,5804,1,None
21,5805,1,None
22,5806,1,None
23,5807,1,None
24,5808,1,None
25,5809,1,None
26,5810,1,None
27,5811,1,Weapon(s) other than a firearm
28,5812,1,None
29,5813,1,None
30,5814,1,None
31,5815,1,None
32,5816,1,None
33,5817,1,None
34,5818,1,None
35,5819,1,None
36,5820,1,None
37,5821,1,None
38,5822,1,None
39,5822,2,None
40,5823,1,None
41,5823,2,None
42,5823,3,None
43,5824,1,None
44,5826,1,None
45,5827,1,None
46,5828,1,None
47,5829,1,Alcohol
48,5830,1,None
49,5831,1,None
50,5832,1,None
51,5971,1,None
52,5972,1,None
53,5973,1,None
54,5974,1,None
55,5975,1,None
56,5976,1,None
57,5977,1,None
58,5978,1,None
59,5979,1,None
60,5980,1,None
61,5981,1,None
62,5982,1,None
63,5983,1,None
64,5984,1,None
65,5985,1,None
66,5986,1,None
67,5987,1,None
68,5988,1,None
69,5989,1,None
70,5990,1,None
71,5991,1,None
72,5992,1,None
73,5993,1,None
74,5994,1,None
75,5994,2,None
76,5995,1,None
77,5996,1,None
78,5997,1,None
79,5998,1,None
80,5999,1,None
81,6000,1,None
82,6001,1,Alcohol
83,6001,1,Other Contraband or evidence
84,6002,1,None
85,6003,1,None
86,6004,1,None
87,6005,1,None
88,6006,1,None
89,6007,1,None
90,6008,1,None
91,6009,1,None
92,6010,1,None
93,6011,1,None
94,6012,1,None
95,6013,1,None
96,6014,1,None
97,6015,1,None
98,6016,1,None
99,6017,1,None
100,6018,1,None
101,5922,1,Weapon(s) other than a firearm
102,5923,1,None
103,5923,2,None
104,5924,1,None
105,5925,1,None
106,5926,1,None
107,5927,1,None
108,5928,1,None
109,5929,1,None
110,5930,1,None
111,5931,1,None
112,5932,1,None
113,5933,1,None
114,5934,1,None
115,5935,1,None
116,5936,1,None
117,5937,1,None
118,5938,1,None
119,5939,1,None
120,5940,1,None
121,5941,1,None
122,5942,1,None
123,5943,1,None
124,5944,1,None
125,5945,1,None
126,5946,1,None
127,5947,1,None
128,5948,1,None
129,5949,1,None
130,5950,1,None
131,5951,1,None
132,5952,1,None
133,5953,1,None
134,5954,1,None
135,5955,1,None
136,5956,1,None
137,5957,1,None
138,5958,1,None
139,5959,1,None
140,5960,1,None
141,5961,1,None
142,5962,1,None
143,5963,1,None
144,5964,1,None
145,5965,1,None
146,5966,1,None
147,5967,1,None
148,5968,1,None
149,5969,1,None
150,5970,1,None
151,6111,1,None
152,6112,1,None
153,6113,1,None
154,6114,1,None
155,6115,1,None
156,6116,1,None
157,6117,1,None
158,6118,1,None
159,6119,1,None
160,6121,1,None
161,6123,1,None
162,6124,1,None
163,6125,1,None
164,6125,2,None
165,6126,1,None
166,6127,1,None
167,6129,1,None
168,6130,1,None
169,6062,1,None
170,6131,1,None
171,6132,1,None
172,6133,1,Weapon(s) other than a firearm
173,6133,2,None
174,6133,3,None
175,6133,4,None
176,6134,1,None
177,6135,1,None
178,6136,1,None
179,6137,1,None
180,6138,1,None
181,6139,1,None
182,6140,1,None
183,6141,1,None
184,6142,1,None
185,6143,1,None
186,6144,1,None
187,6145,1,None
188,6146,1,None
189,6147,1,None
190,6148,1,None
191,6149,1,None
192,6150,1,None
193,6151,1,None
194,6152,1,None
195,6153,1,None
196,6154,1,Drugs/narcotics
197,6155,1,None
198,6156,1,None
199,6157,1,Other Contraband or evidence
200,6158,1,None
201,6159,1,None
202,6063,1,None
203,6063,2,None
204,6064,1,None
205,6065,1,None
206,6066,1,None
207,6067,1,None
208,6068,1,None
209,6069,1,None
210,6070,1,None
211,6071,1,None
212,6072,1,None
213,6073,1,None
214,6074,1,None
215,6075,1,None
216,6076,1,None
217,6077,1,None
218,6078,1,None
219,6079,1,None
220,6080,1,None
221,6081,1,None
222,6082,1,None
223,6083,1,None
224,6084,1,None
225,6085,1,None
226,6086,1,Weapon(s) other than a firearm
227,6087,1,None
228,6088,1,None
229,6089,1,None
230,6090,1,None
231,6091,1,None
232,6092,1,None
233,6093,1,None
234,6094,1,None
235,6095,1,None
236,6096,1,None
237,6097,1,None
238,6098,1,None
239,6099,1,None
240,6100,1,None
241,6101,1,None
242,6102,1,None
243,6103,1,None
244,6104,1,None
245,6105,1,Drug Paraphernalia
246,6106,1,None
247,6107,1,None
248,6108,1,None
249,6109,1,None
250,6110,1,None
251,6019,1,None
252,6020,1,None
253,6021,1,None
254,6022,1,None
255,6023,1,None
256,6024,1,None
257,6025,1,None
258,6026,1,None
259,6027,1,None
260,6028,1,None
261,6029,1,None
262,6030,1,None
263,6031,1,Drugs/narcotics
264,6031,2,None
265,6033,1,None
266,6034,1,None
267,6035,1,None
268,6036,1,None
269,6037,1,None
270,6038,1,None
271,6039,1,None
272,6040,1,None
273,6041,1,None
274,6042,1,None
275,6043,1,None
276,6044,1,None
277,6045,1,Alcohol
278,6045,1,Other Contraband or evidence
279,6046,1,None
280,6046,2,None
281,6047,1,None
282,6048,1,None
283,6049,1,None
284,6050,1,None
285,6050,2,None
286,6051,1,None
287,6052,1,None
288,6053,1,None
289,6054,1,None
290,6055,1,None
291,6055,2,None
292,6056,1,None
293,6056,2,None
294,6057,1,None
295,6058,1,None
296,6059,1,None
297,6060,1,None
298,6061,1,None
299,6061,2,None
300,6061,3,None
301,5875,1,None
302,5876,1,None
303,5877,1,None
304,5878,1,None
305,5879,1,None
306,5880,1,None
307,5881,1,None
308,5882,1,None
309,5883,1,None
310,5884,1,None
311,5885,1,None
312,5886,1,None
313,5887,1,None
314,5888,1,None
315,5889,1,None
316,5890,1,None
317,5891,1,None
318,5891,2,None
319,5891,3,None
320,5892,1,None
321,5893,1,None
322,5894,1,None
323,5895,1,None
324,5896,1,None
325,5897,1,None
326,5898,1,None
327,5899,1,None
328,5899,2,None
329,5901,1,None
330,5902,1,None
331,5903,1,Money
332,5904,1,None
333,5905,1,None
334,5906,1,None
335,5907,1,None
336,5908,1,None
337,5909,1,None
338,5910,1,None
339,5911,1,None
340,5911,2,Drug Paraphernalia
341,5912,1,None
342,5913,1,None
343,5914,1,None
344,5915,1,None
345,5916,1,None
346,5917,1,None
347,5918,1,None
348,5919,1,None
349,5920,1,None
350,5921,1,None
351,5833,1,None
352,5834,1,None
353,5834,2,None
354,5834,3,None
355,5835,1,None
356,5836,1,Alcohol
357,5836,2,Drug Paraphernalia
358,5836,3,Alcohol
359,5837,1,None
360,5838,1,None
361,5839,1,None
362,5840,1,None
363,5841,1,None
364,5841,2,None
365,5842,1,None
366,5843,1,None
367,5844,1,None
368,5845,1,None
369,5845,2,None
370,5846,1,None
371,5847,1,None
372,5848,1,None
373,5849,1,None
374,5850,1,None
375,5851,1,None
376,5852,1,None
377,5853,1,None
378,5854,1,None
379,5855,1,None
380,5856,1,None
381,5857,1,None
382,5858,1,None
383,5859,1,None
384,5860,1,None
385,5861,1,None
386,5862,1,Weapon(s) other than a firearm
387,5863,1,None
388,5864,1,None
389,5865,1,None
390,5866,1,None
391,5867,1,None
392,5868,1,None
393,5869,1,None
394,5870,1,None
395,5871,1,None
396,5871,2,None
397,5871,3,None
398,5872,1,None
399,5873,1,None
400,5874,1,None
401,6201,1,None
402,6202,1,None
403,6203,1,Drugs/narcotics
404,6203,2,None
405,6204,1,None
406,6205,1,None
407,6206,1,None
408,6207,1,None
409,6208,1,None
410,6209,1,None
411,6210,1,None
412,6211,1,None
413,6212,1,None
414,6213,1,None
415,6214,1,None
416,6216,1,None
417,6217,1,None
418,6218,1,None
419,6219,1,None
420,6220,1,None
421,6221,1,None
422,6222,1,None
423,6223,1,None
424,6224,1,None
425,6225,1,None
426,6226,1,None
427,6227,1,None
428,6228,1,None
429,6229,1,None
430,6229,2,None
431,6230,1,None
432,6160,1,None
433,6231,1,None
434,6232,1,None
435,6161,1,None
436,6233,1,None
437,6162,1,None
438,6163,1,None
